events,legs,total_return,cagr,max_dd,sharpe,exposure,leg_winrate,leg_pf,event_winrate,event_pf,avg_event,worst_event,best_event,z_thr,aftershock_gap,aftershock_win,n_picks,hold_hours,target_risk
202,1616,1.452682288956086,0.21896667474339337,-0.8695920334244979,0.6526998038007811,0.06608450562448097,0.5495049504950495,1.3319315075943268,0.599009900990099,1.3244789041919207,0.008674202963985786,-0.5032851536222388,0.22952995412397362,2.0,24.0,120.0,8,12,0.1
202,1616,2.7730402861450894,0.3405185850965351,-0.4872989331975729,0.9845432606708227,0.12708558773938647,0.5767326732673267,1.591647879239016,0.6138613861386139,1.4918296410118563,0.007719040268599819,-0.22738654665575636,0.12415870024813601,2.0,24.0,120.0,8,24,0.06
202,1616,5.419860821233865,0.5073591979270518,-0.7008458306869442,0.9870519872056568,0.12708558773938647,0.5767326732673267,1.591647879239016,0.6138613861386139,1.4931750436031024,0.012876591742736403,-0.37897757775959395,0.20693116708022669,2.0,24.0,120.0,8,24,0.1
178,1424,1.6419554271123848,0.23912976097833694,-0.5832574377689628,0.8154556674268484,0.1657397387824949,0.5758426966292135,1.5368406703650168,0.6067415730337079,1.4133124762453766,0.006377905356832399,-0.2221635542258053,0.1241951369663633,2.0,24.0,120.0,8,36,0.06
178,1424,2.7683585110396494,0.34015130765290214,-0.7852340264124029,0.8127130915754018,0.1657397387824949,0.5758426966292135,1.5368406703650168,0.6067415730337079,1.4116742426170048,0.010587709090825721,-0.3702725903763422,0.20699189494393883,2.0,24.0,120.0,8,36,0.1
56,168,0.9878735244766441,0.16373169968344525,-0.3233744114792555,0.8728496376865629,0.018320457004806605,0.6726190476190477,2.5203592737748046,0.6785714285714286,2.1906305328973668,0.013378136526405274,-0.13976879168048137,0.11458812517114329,2.0,48.0,72.0,3,12,0.06
56,168,1.710744762408983,0.24617902084768573,-0.4885286595772347,0.8510713953240057,0.018320457004806605,0.6726190476190477,2.5203592737748046,0.6785714285714286,2.1523281929626776,0.021511831446247187,-0.23294798613413562,0.17640345826645687,2.0,48.0,72.0,3,12,0.1
56,168,1.2154836336702282,0.19190909527722666,-0.1945964708630804,1.0544327684136625,0.035231648086166543,0.5595238095238095,2.923215796142359,0.625,2.5564607553005025,0.015212308232169163,-0.12403829898695015,0.12312258055699156,2.0,48.0,72.0,3,24,0.06
56,168,2.431384853903871,0.31272982679932704,-0.31391708191343193,1.0514131493143595,0.035231648086166543,0.5595238095238095,2.923215796142359,0.625,2.5510747295591027,0.02526611180400539,-0.2067304983115836,0.2052043009283193,2.0,48.0,72.0,3,24,0.1
56,168,0.6746885099539814,0.12052381868181072,-0.29535993875382727,0.7367425146529815,0.05214283916752649,0.6011904761904762,2.3499470176341446,0.5892857142857143,1.77080015736373,0.010424261281864184,-0.11369019284271693,0.1744789944767776,2.0,48.0,72.0,3,36,0.06
56,168,1.1805131815676746,0.18773121359686984,-0.4547737728272224,0.7367425146529811,0.05214283916752649,0.6011904761904762,2.3499470176341446,0.5892857142857143,1.7708001573637302,0.017373768803106975,-0.18948365473786155,0.29079832412796264,2.0,48.0,72.0,3,36,0.1
56,280,0.9356652875875497,0.15691636842329415,-0.31181378774425494,0.855075335263005,0.018320457004806605,0.6714285714285714,2.3274749123000875,0.7142857142857143,2.1024005474791463,0.013047890589699311,-0.17445558672682882,0.11727251616071899,2.0,48.0,72.0,5,12,0.06
56,280,1.6407599902678323,0.2390059991405602,-0.4692018025226201,0.8437086050691506,0.018320457004806605,0.6714285714285714,2.3274749123000875,0.7142857142857143,2.0854455046886757,0.02128452989034854,-0.2907593112113813,0.19545419360119834,2.0,48.0,72.0,5,12,0.1
56,280,1.129755330287408,0.18157333508564766,-0.20438504509053246,1.0173775870479955,0.035231648086166543,0.5892857142857143,2.655723937226512,0.6785714285714286,2.3877796127881705,0.01454172462362431,-0.1439399840419528,0.13005423037005204,2.0,48.0,72.0,5,24,0.06
56,280,2.2218307729402826,0.29460017648031456,-0.32870233961189765,1.0159575838830168,0.035231648086166543,0.5892857142857143,2.655723937226512,0.6785714285714286,2.3842362738347487,0.02417432677188017,-0.2398999734032547,0.2167570506167534,2.0,48.0,72.0,5,24,0.1
56,280,0.6217550192134043,0.1126092502700824,-0.24685963634223784,0.7089871013590392,0.05214283916752649,0.5964285714285714,2.163304609624796,0.6785714285714286,1.7342628582282396,0.009740321876253708,-0.13074234968954546,0.1317173986805562,2.0,48.0,72.0,5,36,0.06
56,280,1.0727895032615304,0.17452457194780546,-0.3925447979109251,0.7088862066054425,0.05214283916752649,0.5964285714285714,2.163304609624796,0.6785714285714286,1.7341353962622506,0.01623105172807802,-0.21790391614924243,0.21952899780092702,2.0,48.0,72.0,5,36,0.1
